filepath	current_header	Function	Description	Example	Result	Operator	Specifier	Synonyms
docs\sql\functions\char.md 	 	 *`string`*` SIMILAR TO `*`regex`* 	 Returns `true` if the *string* matches the *regex*; identical to `regexp_full_match` (see [Pattern Matching](/docs/sql/functions/patternmatching)) 	 `'hello' SIMILAR TO 'l+'` 	 `false`			
docs\sql\functions\char.md 	 	 `strlen(`*`string`*`)` 	 Number of bytes in *string* 	 `length('🤦🏼‍♂️')` 	 `1`			
docs\sql\functions\char.md 	 	 `strip_accents(`*`string`*`)`	 Strips accents from *string* 	 `strip_accents('mühleisen')` 	 `muhleisen`			
docs\sql\functions\char.md 	 	 `string_split(`*`string`*`, `*`separator`*`)` 	 Splits the *string* along the *separator* 	 `string_split('hello␣world', '␣')` 	 `['hello', 'world']`			
docs\sql\functions\char.md 	 	 `string_split_regex(`*`string`*`, `*`regex`*`)` 	 Splits the *string* along the *regex* 	 `string_split_regex('hello␣world; 42', ';?␣')` 	 `['hello', 'world', '42']`			
docs\sql\functions\char.md 	 	 `substring(`*`string`*`, `*`start`*`, `*`length`*`)` 	 Extract substring of *length* characters starting from character *start*. Note that a *start* value of `1` refers to the *first* character of the string. 	 `substring('Hello', 2, 2)` 	 `el`			
docs\sql\functions\char.md 	 	 `trim(`*`string`*`)`	 Removes any spaces from either side of the *string* 	 `trim('␣␣␣␣test␣␣')` 	 `test`			
docs\sql\functions\char.md 	 	 `trim(`*`string`*`, `*`characters`*`)`	 Removes any occurrences of any of the *characters* from either side of the *string* 	 `trim('>>>>test<<', '><')` 	 `test`			
docs\sql\functions\char.md 	 	 `unicode(`*`string`*`)`	 Returns the unicode code of the first character of the *string* 	 `unicode('ü')` 	 `252`			
docs\sql\functions\date.md 	 Date Operators		 addition of an `INTERVAL` 	 `DATE '1992-03-22' + INTERVAL 5 DAY` 	 1992-03-27	 `+` 		
docs\sql\functions\date.md 	 Date Operators		 subtraction of `DATE`s 	 `DATE '1992-03-27' - DATE '1992-03-22'` 	 5	 `-` 		
docs\sql\functions\date.md 	 Date Operators		 subtraction of an `INTERVAL` 	 `DATE '1992-03-27' - INTERVAL 5 DAY'` 	 1992-03-22	 `-` 		
docs\sql\functions\date.md 	 Date Functions	 `date_diff(`*`part`*`, `*`startdate`*`, , `*`enddate`*`)` 	 The number of [partition](/docs/sql/functions/datepart) boundaries between the dates 	 `date_diff('month', DATE '1992-09-15', DATE '1992-11-14')` 	 `2`			
docs\sql\functions\date.md 	 Date Functions	 `date_part(`*`part`*`, `*`date`*`)` 	 Get the [subfield](/docs/sql/functions/datepart) (equivalent to *extract*) 	 `date_part('year', DATE '1992-09-20')` 	 `1992`			
docs\sql\functions\date.md 	 Date Functions	 `date_sub(`*`part`*`, `*`startdate`*`, , `*`enddate`*`)` 	 The number of complete [partitions](/docs/sql/functions/datepart) between the dates 	 `date_sub('month', DATE '1992-09-15', DATE '1992-11-14')` 	 `1`			
docs\sql\functions\date.md 	 Date Functions	 `date_trunc(`*`part`*`, `*`date`*`)` 	 Truncate to specified [precision](/docs/sql/functions/datepart) 	 `date_trunc('month', DATE '1992-03-07')` 	 `1992-03-01`			
docs\sql\functions\date.md 	 Date Functions	 `dayname(`*`date`*`)` 	 The (English) name of the weekday 	 `monthname(DATE '1992-09-20')` 	 `Sunday`			
docs\sql\functions\date.md 	 Date Functions	 `extract(`*`part`* `from `*`date`*`)` 	 Get [subfield](/docs/sql/functions/datepart) from a date 	 `extract('year' FROM DATE '1992-09-20')` 	 `1992`			
docs\sql\functions\date.md 	 Date Functions	 `greatest(`*`date`*`, `*`date`*`)` 	 The later of two dates 	 `greatest(DATE '1992-09-20', DATE '1992-03-07')` 	 `1992-09-20`			
docs\sql\functions\date.md 	 Date Functions	 `last_day(`*`date`*`)` 	 The last day of the month 	 `last_day(DATE '1992-09-20')` 	 `1992-09-30`			
docs\sql\functions\date.md 	 Date Functions	 `least(`*`date`*`, `*`date`*`)` 	 The earlier of two dates 	 `least(DATE '1992-09-20', DATE '1992-03-07')` 	 `1992-03-07`			
docs\sql\functions\date.md 	 Date Functions	 `monthname(`*`date`*`)` 	 The (English) name of the month 	 `monthname(DATE '1992-09-20')` 	 `September`			
docs\sql\functions\date.md 	 Date Functions	 `last_day(`*`date`*`)` 	 Last day of the corresponding month in the date 	 `last_day(DATE '1992-09-20')` 	 `1992-09-30`			
docs\sql\functions\date.md 	 Date Functions	 `strftime(date, format)` 	 Converts a date to a string according to the [format string](/docs/sql/functions/dateformat) 	 `strftime(date '1992-01-01', '%a, %-d %B %Y')` 	 `Wed, 1 January 1992`			
docs\sql\functions\dateformat.md 	 Format Specifiers		 Full weekday name. 	 Sunday, Monday, ...			 `%A` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Weekday as a decimal number. 	 0, 1, ..., 6			 `%w` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Day of the month as a zero-padded decimal. 	 01, 02, ..., 31			 `%d` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Day of the month as a decimal number. 	 1, 2, ..., 30			 `%-d` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Abbreviated month name. 	 Jan, Feb, ..., Dec			 `%b` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Full month name. 	 January, February, ...			 `%B` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Month as a zero-padded decimal number. 	 01, 02, ..., 12			 `%m` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Month as a decimal number. 	 1, 2, ..., 12			 `%-m` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Year without century as a zero-padded decimal number. 	 00, 01, ..., 99			 `%y` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Year without century as a decimal number. 	 0, 1, ..., 99			 `%-y` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Year with century as a decimal number. 	 2013, 2019 etc.			 `%Y` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Hour (24-hour clock) as a zero-padded decimal number. 	 00, 01, ..., 23			 `%H` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Hour (24-hour clock) as a decimal number. 	 0, 1, ..., 23			 `%-H` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Hour (12-hour clock) as a zero-padded decimal number. 	 01, 02, ..., 12			 `%I` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Hour (12-hour clock) as a decimal number. 	 1, 2, ... 12			 `%-I` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Locale's AM or PM. 	 AM, PM			 `%p` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Minute as a zero-padded decimal number. 	 00, 01, ..., 59			 `%M` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Minute as a decimal number. 	 0, 1, ..., 59			 `%-M` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Second as a zero-padded decimal number. 	 00, 01, ..., 59			 `%S` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Second as a decimal number. 	 0, 1, ..., 59			 `%-S` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Millisecond as a decimal number, zero-padded on the left. 	 000 - 999			 `%g` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Microsecond as a decimal number, zero-padded on the left. 	 000000 - 999999			 `%f` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 UTC offset in the form +HHMM or -HHMM. 				 `%z` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Time zone name. 				 `%Z` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Day of the year as a zero-padded decimal number. 	 001, 002, ..., 366			 `%j` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Day of the year as a decimal number. 	 1, 2, ..., 366			 `%-j` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Week number of the year (Sunday as the first day of the week). 	 00, 01, ..., 53			 `%U` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 Week number of the year (Monday as the first day of the week). 	 00, 01, ..., 53			 `%W` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 ISO date and time representation 	 1992-03-02 10:30:20			 `%c` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 ISO date representation 	 1992-03-02			 `%x` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 ISO time representation 	 10:30:20			 `%X` 	
docs\sql\functions\dateformat.md 	 Format Specifiers		 A literal '%' character. 	 %			 `%%` 	
docs\sql\functions\datepart.md 	 Usable as Date Part Specifiers and in Intervals		 Gregorian month 	8			 `'month'` 	 `'mon'`, `'months'`, `'mons'` 
docs\sql\functions\datepart.md 	 Usable as Date Part Specifiers and in Intervals		 Gregorian day 	3			 `'day'` 	 `'days'`, `'d'`, `'dayofmonth'` 
docs\sql\functions\datepart.md 	 Usable as Date Part Specifiers and in Intervals		 Gregorian decade 	202			 `'decade'` 	 `'decades'` 
docs\sql\functions\datepart.md 	 Usable as Date Part Specifiers and in Intervals		 Gregorian century 	21			 `'century'` 	 `'centuries'` 
docs\sql\functions\datepart.md 	 Usable as Date Part Specifiers and in Intervals		 Gregorian millennium 	3			 `'millennium'` 	 `'millenia'`, `'millenium'` 
docs\sql\functions\datepart.md 	 Usable as Date Part Specifiers and in Intervals		 Quarter of the year (1-4) 	3			 `'quarter'` 	 `'quarters'` 
docs\sql\functions\datepart.md 	 Usable as Date Part Specifiers and in Intervals		 Sub-minute microseconds 	44123456			 `'microseconds'` 	 `'microsecond'` 
docs\sql\functions\datepart.md 	 Usable as Date Part Specifiers and in Intervals		 Sub-minute milliseconds 	44123			 `'milliseconds'` 	 `'millisecond'`, `'ms'`, `'msec'`, `'msecs'` 
docs\sql\functions\datepart.md 	 Usable as Date Part Specifiers and in Intervals		 Seconds 	44			 `'second'` 	 `'seconds'`, `'s'` 
docs\sql\functions\datepart.md 	 Usable as Date Part Specifiers and in Intervals		 Minutes 	59			 `'minute'` 	 `'minutes'`, `'m'` 
docs\sql\functions\datepart.md 	 Usable as Date Part Specifiers and in Intervals		 Hours 	11			 `'hour'` 	 `'hours'`, `'h'` 
docs\sql\functions\datepart.md 	 Usable in Date Part Specifiers Only		 Day of the week (Sunday = 0, Saturday = 6) 	2			 `'dayofweek'` 	 `'weekday'`, `'dow'` 
docs\sql\functions\datepart.md 	 Usable in Date Part Specifiers Only		 ISO day of the week (Monday = 1, Sunday = 7) 	2			 `'isodow'` 	 
docs\sql\functions\datepart.md 	 Usable in Date Part Specifiers Only		 ISO Year number (Starts on Monday of week containing Jan 4th ) 	2021			 `'isoyear'` 	 
docs\sql\functions\datepart.md 	 Usable in Date Part Specifiers Only		 Week number 	31			 `'week'` 	 `'weeks'`, `'w'` 
docs\sql\functions\datepart.md 	 Usable in Date Part Specifiers Only		 ISO year and week number in `YYYYWW` format 	202131			 `'yearweek'` 	 
docs\sql\functions\datepart.md 	 Usable in Date Part Specifiers Only		 Day of the year (1-365/366) 	215			 `'dayofyear'` 	 `'doy'` 
docs\sql\functions\datepart.md 	 Usable in Date Part Specifiers Only		 Gregorian era (CE/AD, BCE/BC) 	1			 `'era'` 	 
docs\sql\functions\datepart.md 	 Usable in Date Part Specifiers Only		 Time zone offset in seconds 	0			 `'timezone'` 	 
docs\sql\functions\datepart.md 	 Usable in Date Part Specifiers Only		 Time zone offset hour portion 	0			 `'timezone_hour'` 	 
docs\sql\functions\datepart.md 	 Usable in Date Part Specifiers Only		 Time zone offset minute portion 	0			 `'timezone_minute'` 	 
docs\sql\functions\datepart.md 	 Part Functions	 `month(`*`date`*`)` 	 Month 	 `month(date '1992-02-15')` 	 `2`			
docs\sql\functions\datepart.md 	 Part Functions	 `day(`*`date`*`)` 	 Day 	 `day(date '1992-02-15')` 	 `15`			
docs\sql\functions\datepart.md 	 Part Functions	 `dayofmonth(`*`date`*`)` 	 Day (synonym) 	 `dayofmonth(date '1992-02-15')` 	 `15`			
docs\sql\functions\datepart.md 	 Part Functions	 `decade(`*`date`*`)` 	 Decade (year / 10) 	 `decade(date '1992-02-15')` 	 `199`			
docs\sql\functions\datepart.md 	 Part Functions	 `century(`*`date`*`)` 	 Century 	 `century(date '1992-02-15')` 	 `20`			
docs\sql\functions\datepart.md 	 Part Functions	 `millennium(`*`date`*`)` 	 Millennium 	 `millennium(date '1992-02-15')` 	 `2`			
docs\sql\functions\datepart.md 	 Part Functions	 `quarter(`*`date`*`)` 	 Quarter 	 `quarter(date '1992-02-15')` 	 `1`			
docs\sql\functions\datepart.md 	 Part Functions	 `microsecond(`*`date`*`)` 	 Sub-minute microseconds 	 `microsecond(timestamp '2021-08-03 11:59:44.123456')` 	 `44123456`			
docs\sql\functions\datepart.md 	 Part Functions	 `millisecond(`*`date`*`)` 	 Sub-minute milliseconds 	 `millisecond(timestamp '2021-08-03 11:59:44.123456')` 	 `44123`			
docs\sql\functions\datepart.md 	 Part Functions	 `second(`*`date`*`)` 	 Seconds 	 `second(timestamp '2021-08-03 11:59:44.123456')` 	 `44`			
docs\sql\functions\datepart.md 	 Part Functions	 `minute(`*`date`*`)` 	 Minutes 	 `minute(timestamp '2021-08-03 11:59:44.123456')` 	 `59`			
docs\sql\functions\datepart.md 	 Part Functions	 `hour(`*`date`*`)` 	 Hours 	 `hour(timestamp '2021-08-03 11:59:44.123456')` 	 `11`			
docs\sql\functions\datepart.md 	 Part Functions	 `epoch(`*`date`*`)` 	 Seconds since 1970-01-01 	 `epoch(date '1992-02-15')` 	 `698112000`			
docs\sql\functions\datepart.md 	 Part Functions	 `dayofweek(`*`date`*`)` 	 Numeric weekday (Sunday = 0, Saturday = 6) 	 `dayofweek(date '1992-02-15')` 	 `6`			
docs\sql\functions\datepart.md 	 Part Functions	 `weekday(`*`date`*`)` 	 Numeric weekday synonym (Sunday = 0, Saturday = 6) 	 `weekday(date '1992-02-15')` 	 `6`			
docs\sql\functions\datepart.md 	 Part Functions	 `isodow(`*`date`*`)` 	 Numeric ISO weekday (Monday = 1, Sunday = 7) 	 `isodow(date '1992-02-15')` 	 `6`			
docs\sql\functions\datepart.md 	 Part Functions	 `isoyear(`*`date`*`)` 	 ISO Year number (Starts on Monday of week containing Jan 4th ) 	 `isoyear(date '2022-01-01')` 	 `2021`			
docs\sql\functions\datepart.md 	 Part Functions	 `week(`*`date`*`)` 	 ISO Week 	 `week(date '1992-02-15')` 	 `7`			
docs\sql\functions\datepart.md 	 Part Functions	 `weekofyear(`*`date`*`)` 	 ISO Week (synonym) 	 `weekofyear(date '1992-02-15')` 	 `7`			
docs\sql\functions\datepart.md 	 Part Functions	 `dayofyear(`*`date`*`)` 	 Numeric ISO weekday (Monday = 1, Sunday = 7) 	 `isodow(date '1992-02-15')` 	 `46`			
docs\sql\functions\datepart.md 	 Part Functions	 `quarter(`*`date`*`)` 	 Quarter 	 `quarter(date '1992-02-15')` 	 `1`			
docs\sql\functions\datepart.md 	 Part Functions	 `era(`*`date`*`)` 	 Calendar era 	 `era(date '0044-03-15 (BC)')` 	 `0`			
docs\sql\functions\datepart.md 	 Part Functions	 `timezone(`*`date`*`)` 	 Time Zone offset in minutes 	 `timezone(date '1992-02-15')` 	 `0`			
docs\sql\functions\datepart.md 	 Part Functions	 `timezone_hour(`*`date`*`)` 	 Time zone offset hour portion 	 `timezone_hour(date '1992-02-15')` 	 `0`			
docs\sql\functions\datepart.md 	 Part Functions	 `timezone_minute(`*`date`*`)` 	 Time zone offset minutes portion 	 `timezone_minute(date '1992-02-15')` 	 `0`			
docs\sql\functions\interval.md 	 Interval Operators		 addition to a `DATE` 	 `DATE '1992-03-22' + INTERVAL 5 DAY` 	 1992-03-27	 `+` 		
docs\sql\functions\interval.md 	 Interval Operators		 addition to a `TIMESTAMP` 	 `TIMESTAMP '1992-03-22 01:02:03' + INTERVAL 5 DAY` 	 1992-03-27 01:02:03	 `+` 		
docs\sql\functions\interval.md 	 Interval Operators		 addition to a `TIME` 	 `TIME '01:02:03' + INTERVAL 5 HOUR` 	 06:02:03	 `+` 		
docs\sql\functions\interval.md 	 Interval Operators		 subtraction of an `INTERVAL` 	 `INTERVAL 5 HOUR - INTERVAL 1 HOUR` 	 INTERVAL 4 HOUR	 `-` 		
docs\sql\functions\interval.md 	 Interval Operators		 subtraction from a `DATE` 	 `DATE '1992-03-27' - INTERVAL 5 DAY` 	 1992-03-22	 `-` 		
docs\sql\functions\interval.md 	 Interval Operators		 subtraction from a `TIMESTAMP` 	 `TIMESTAMP '1992-03-27 01:02:03' - INTERVAL 5 DAY` 	 1992-03-22 01:02:03	 `-` 		
docs\sql\functions\interval.md 	 Interval Operators		 subtraction from a `TIME` 	 `TIME '06:02:03' - INTERVAL 5 HOUR` 	 01:02:03	 `-` 		
docs\sql\functions\interval.md 	 Interval Functions	 `extract(`*`part`* `from` *`interval`*`)` 	 Get [subfield](/docs/sql/functions/datepart) from a date 	 `extract('month' FROM INTERVAL '14 months')` 	 2			
docs\sql\functions\interval.md 	 Interval Functions	 `to_years(`*`integer`*`)` 	 Construct a year interval 	 `to_years(5)` 	 INTERVAL 5 YEAR			
docs\sql\functions\interval.md 	 Interval Functions	 `to_months(`*`integer`*`)` 	 Construct a month interval 	 `to_months(5)` 	 INTERVAL 5 MONTH			
docs\sql\functions\interval.md 	 Interval Functions	 `to_days(`*`integer`*`)` 	 Construct a day interval 	 `to_days(5)` 	 INTERVAL 5 DAY			
docs\sql\functions\interval.md 	 Interval Functions	 `to_hours(`*`integer`*`)` 	 Construct a hour interval 	 `to_hours(5)` 	 INTERVAL 5 HOUR			
docs\sql\functions\interval.md 	 Interval Functions	 `to_minutes(`*`integer`*`)` 	 Construct a minute interval 	 `to_minutes(5)` 	 INTERVAL 5 MINUTE			
docs\sql\functions\interval.md 	 Interval Functions	 `to_seconds(`*`integer`*`)` 	 Construct a second interval 	 `to_seconds(5)` 	 INTERVAL 5 SECOND			
docs\sql\functions\interval.md 	 Interval Functions	 `to_milliseconds(`*`integer`*`)` 	 Construct a millisecond interval 	 `to_milliseconds(5)` 	 INTERVAL 5 MILLISECOND			
docs\sql\functions\interval.md 	 Interval Functions	 `to_microseconds(`*`integer`*`)` 	 Construct a microsecond interval 	 `to_microseconds(5)` 	 INTERVAL 5 MICROSECOND			
docs\sql\functions\nested.md 	 List Functions	 `array_extract(`*`list`*`, `*`index`*`)` 	 Alias for `list_extract`. 	 `array_extract(l, 2)` 	 `6`			
docs\sql\functions\nested.md 	 List Functions	 `array_slice(`*`list`*`, `*`begin`*`, `*`end`*`)` 	 Extract a sublist using slice conventions. `NULL`s are interpreted as the bounds of the `LIST`. Negative values are accepted. 	 `array_slice(l, 1, NULL)` 	 `[5,6]`			
docs\sql\functions\nested.md 	 List Functions	 `list_element(`*`list`*`, `*`index`*`)` 	 Alias for `list_extract`. 	 `list_element(l, 2)` 	 `6`			
docs\sql\functions\nested.md 	 List Functions	 `list_extract(`*`list`*`, `*`index`*`)` 	 Extract the `index`th (0-based) value from the list. 	 `list_extract(l, 2)` 	 `6`			
docs\sql\functions\nested.md 	 List Functions	 `list_pack(`*`any`*`, ...)` 	 Alias for `list_value`. 	 `list_pack(4, 5, 6)` 	 `[4, 5, 6]`			
docs\sql\functions\nested.md 	 List Functions	 `list_value(`*`any`*`, ...)` 	 Create a `LIST` containing the argument values. 	 `list_value(4, 5, 6)` 	 `[4, 5, 6]`			
docs\sql\functions\nested.md 	 List Functions	 *`list`*`[`*`begin`*`:`*`end`*`]` 	 Alias for `array_slice`. Missing arguments are interprete as `NULL`s. 	 `l[1:2]` 	 `[5, 6]`			
docs\sql\functions\nested.md 	 List Functions	 `array_length(`*`list`*`)` 	 Return the length of the list. 	  `array_length([1, 2, 3])` 	 `3`			
docs\sql\functions\nested.md 	 List Functions	 `len(`*`list`*`)` 	 Alias for `array_length`. 	 `len([1, 2, 3])` 	 `3`			
docs\sql\functions\nested.md 	 List Functions	 `unnest(`*`list`*`)` 	 Unnests a list by one level. Note that this is a special function that alters the cardinality of the result. See the [UNNEST page](/docs/sql/query_syntax/unnest) for more details.  	 `unnest([1, 2, 3])` 	 `1`, `2`, `3`			
docs\sql\functions\nested.md 	 List Functions	 `list_concat(`*`list1`*`, `*`list2`*`)` 	 Concatenates two lists. 	 `list_concat([2, 3], [4, 5, 6])` 	 `[2, 3, 4, 5, 6]`			
docs\sql\functions\nested.md 	 List Functions	 `list_cat(`*`list1`*`, `*`list2`*`)` 	 Alias for `list_concat`. 	 `list_cat([2, 3], [4, 5, 6])` 	 `[2, 3, 4, 5, 6`]			
docs\sql\functions\nested.md 	 List Functions	 `array_concat(`*`list1`*`, `*`list2`*`)` 	 Alias for `list_concat`. 	 `array_concat([2, 3], [4, 5, 6])` 	 `[2, 3, 4, 5, 6`]			
docs\sql\functions\nested.md 	 List Functions	 `array_cat(`*`list1`*`, `*`list2`*`)` 	 Alias for `list_concat`. 	 `array_cat([2, 3], [4, 5, 6])` 	 `[2, 3, 4, 5, 6`]			
docs\sql\functions\nested.md 	 List Functions	 `list_append(`*`list`*`, `*`element`*`)` 	 Appends `element` to `list`. 	 `list_append([2, 3], 4)` 	 `[2, 3, 4`]			
docs\sql\functions\nested.md 	 List Functions	 `list_prepend(`*`list`*`, `*`element`*`)` 	 Prepends `element` to `list`. 	 `list_prepend(3, [4, 5, 6])` 	 `[3, 4, 5, 6`]			
docs\sql\functions\nested.md 	 Struct Functions	 *`struct`*`[`*`entry`*`]` 	 Bracket notation serves as an alias for `struct_extract`. 	 `({'i': 3, 's': 'string'})['s']` 	 `string`			
docs\sql\functions\nested.md 	 Struct Functions	 `row(`*`any`*`, ...)` 	 Create a `STRUCT` containing the argument values. If the values are column references, the entry name will be the column name; otherwise it will be the string `'vN'` where `N` is the (1-based) position of the argument. 	 `row(i, i % 4, i / 4)` 	 `{'i': 3, 'v2': 3, 'v3': 0}`			
docs\sql\functions\nested.md 	 Struct Functions	 `struct_extract(`*`struct`*`, `*`'entry'`*`)` 	 Extract the named entry from the struct. 	 `struct_extract(s, 'i')` 	 `4`			
